StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
T7032-IX7,Ethernet0,str-7260-10,Ethernet0,100000,1681,Access
T7032-IX7,Ethernet4,str-7260-10,Ethernet4,100000,1682,Access
T7032-IX7,Ethernet8,str-7260-10,Ethernet8,100000,1683,Access
T7032-IX7,Ethernet12,str-7260-10,Ethernet12,100000,1684,Access
T7032-IX7,Ethernet16,str-7260-10,Ethernet16,100000,1685,Access
T7032-IX7,Ethernet20,str-7260-10,Ethernet20,100000,1686,Access
T7032-IX7,Ethernet24,str-7260-10,Ethernet24,100000,1687,Access
T7032-IX7,Ethernet28,str-7260-10,Ethernet28,100000,1688,Access
T7032-IX7,Ethernet32,str-7260-10,Ethernet32,100000,1689,Access
T7032-IX7,Ethernet36,str-7260-10,Ethernet36,100000,1690,Access
T7032-IX7,Ethernet40,str-7260-10,Ethernet40,100000,1691,Access
T7032-IX7,Ethernet44,str-7260-10,Ethernet44,100000,1692,Access
T7032-IX7,Ethernet48,str-7260-10,Ethernet48,100000,1693,Access
T7032-IX7,Ethernet52,str-7260-10,Ethernet52,100000,1694,Access
T7032-IX7,Ethernet56,str-7260-10,Ethernet56,100000,1695,Access
T7032-IX7,Ethernet60,str-7260-10,Ethernet60,100000,1696,Access
T7032-IX7,Ethernet64,str-7260-10,Ethernet64,100000,1697,Access
T7032-IX7,Ethernet68,str-7260-10,Ethernet68,100000,1698,Access
T7032-IX7,Ethernet72,str-7260-10,Ethernet72,100000,1699,Access
T7032-IX7,Ethernet76,str-7260-10,Ethernet76,100000,1700,Access
T7032-IX7,Ethernet80,str-7260-10,Ethernet80,100000,1701,Access
T7032-IX7,Ethernet84,str-7260-10,Ethernet84,100000,1702,Access
T7032-IX7,Ethernet88,str-7260-10,Ethernet88,100000,1703,Access
T7032-IX7,Ethernet92,str-7260-10,Ethernet92,100000,1704,Access
T7032-IX7,Ethernet96,str-7260-10,Ethernet96,100000,1705,Access
T7032-IX7,Ethernet100,str-7260-10,Ethernet100,100000,1706,Access
T7032-IX7,Ethernet104,str-7260-10,Ethernet104,100000,1707,Access
T7032-IX7,Ethernet108,str-7260-10,Ethernet108,100000,1708,Access
T7032-IX7,Ethernet112,str-7260-10,Ethernet112,100000,1709,Access
T7032-IX7,Ethernet116,str-7260-10,Ethernet116,100000,1710,Access
T7032-IX7,Ethernet120,str-7260-10,Ethernet120,100000,1711,Access
T7032-IX7,Ethernet124,str-7260-11,Ethernet76,100000,1712,Access
str-7260-11,Ethernet48,str-acs-serv-01,ens33np0,100000,1681-1712,Trunk
str-7260-11,Ethernet72,str-7260-10,Ethernet124,100000,1681-1712,Trunk
